"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"1","Daimler Ag",29,14,0.0189170118494693,0.00831328871480358,6.06771908830653e-05,"Automotive"
"2","E.On Se",12,6,0.00066045114264093,0.000455328260588981,9.27932482276828e-06,"Power"
"3","Enel Spa",8,4,0.000395443312499037,0.000229848160416513,3.22997012410146e-06,"Power"
"4","Engie Sa",32,15,0.00751374378801791,0.00672099705716888,0.000103273873108597,"Power"
"5","General Electric Co",40,18,0.00699190157374635,0.00484141681671794,0.00504242612255694,"Power"
"6","Sse Plc",27,13,0.00439571513288697,0.00174568694322934,1.29946877478798e-05,"Power"
"7","Stedin Holding Nv",10,5,0.00394605718611502,0.00210563723920415,2.52841754224004e-05,"Power"
"8","Teollisuuden Voima Oyj",8,4,0.000639587129224759,0.000489526008113403,5.41329407656258e-06,"Power"
"9","Volvo Car Ab",6,3,0.000708769523678937,0.000172821020221511,5.85357615630298e-06,"Automotive"
"10","Eni Spa",32,15,0.0070596067960007,0.00666863673784339,4.88493097914645e-05,"Oil&Gas"
"11","Electricite De France Sa",35,16,0.0176022998512112,0.00892859247341249,9.70345811475352e-05,"Power"
"12","Cez As",13,7,0.00369794879069745,0.00235589491363101,6.08057833650563e-06,"Power"
"13","Equinor Asa",28,13,0.00788127883016678,0.00430179994206381,0.00273294048071899,"Oil&Gas"
"14","Petroleos Mexicanos",27,12,0.0267439980581943,0.0100684414191869,0.00996155613643925,"Oil&Gas"
"15","Hera Spa",6,3,0.000369251486040642,1.1800662856718e-06,3.47684417989603e-06,"Power"
"16","Indian Oil Corp Ltd",4,2,1.49088297318006e-05,1.49088297318006e-05,6.456312243875e-08,"Oil&Gas"
"17","Omv Ag",19,10,0.00376637720859079,0.00291181803166007,3.40172538706818e-05,"Oil&Gas"
"18","Orsted A/S",14,7,0.00268889571190012,0.000184426146208832,2.4278054769351e-05,"Power"
"19","Pertamina Persero Pt",10,5,0.00372271757497092,4.45107270641871e-05,1.76082972851267e-06,"Oil&Gas"
"20","Reliance Industries Ltd",4,2,1.09392924431715e-05,1.09392924431715e-05,4.73729253138689e-08,"Oil&Gas"
"21","Rwe Ag",10,5,0.000678973448360586,0.000375588277471238,2.02991589243344e-06,"Power"
"22","Fortum Oyj",12,6,0.00302999337046714,0.00232495068804653,7.08211627941298e-06,"Power"
"23","Eesti Energia As",5,3,0.0018713526738195,0.00182055265390602,3.10747319996747e-06,"Power"
"24","Peugeot Sa",9,5,0.000916782739790839,0.000232009218610168,5.81547206479711e-06,"Automotive"
"25","Renault Sa",17,9,0.0126534711883502,0.00246003387257148,2.09069929932964e-05,"Automotive"
"26","Total Sa",11,6,0.00193295913715778,0.000938836757007421,1.60844283996863e-05,"Oil&Gas"
"27","Vattenfall Ab",13,7,0.00261316989020868,0.000190310066511176,1.37869655259188e-05,"Power"
