"","company_name","number_of_portfolios","number_of_investors","mean_exposure","median_exposure","total_exposure","sector"
"1","Renault Sa",14,7,0.00817016480248334,0.00478772434778836,0.00198446637450513,"Automotive"
"2","Electricite De France Sa",15,7,0.00388372038141987,0.000992524576386234,0.000299579942980862,"Power"
"3","Eni Spa",28,14,0.0126739504099203,0.0116060106466442,0.00217584994669273,"Oil&Gas"
"4","Siemens Ag",27,13,0.0216579254896859,0.0198729386762543,0.00436725397139432,"Power"
"5","Total Sa",28,14,0.0327975330074673,0.0393677972302189,0.0123549868890102,"Oil&Gas"
"6","Aes Corp/Va",10,5,0.000119748483676657,1.61669205839164e-05,4.35368427583702e-05,"Power"
"7","Aker Bp Asa",5,2,0.00171652114923368,0.00108328843721291,0.000358635105797172,"Oil&Gas"
"8","Alliant Energy Corp",8,4,0.000164926835780348,7.47131956031099e-05,5.01814482044303e-05,"Power"
"9","Ameren Corp",8,4,0.000200115506113518,8.66667712065619e-05,4.13305540735898e-05,"Power"
"10","American Electric Power Co Inc",14,7,0.000666302510503843,6.20697964286786e-05,0.000146944272101276,"Power"
"11","Apache Corp",14,7,0.000105476812560946,9.86115670461442e-05,7.29209816670257e-05,"Oil&Gas"
"12","Bayerische Motoren Werke Ag",22,11,0.00546534549217291,0.00483153803280926,0.00201816195885018,"Automotive"
"13","Cabot Oil & Gas Corp",8,4,0.000113554167839046,4.24840300977494e-05,1.97884079960071e-05,"Oil&Gas"
"14","Centerpoint Energy Inc",8,4,0.000189391099554019,9.05751592307352e-05,4.38814714822381e-05,"Power"
"15","Centrica Plc",11,5,0.000471153393910709,0.000109596694299952,0.000121252923335524,"Oil&Gas"
"16","Chevron Corp",16,8,0.00593561596368092,0.00180502605300694,0.00142144386128895,"Oil&Gas"
"17","Cimarex Energy Co",8,4,5.25090682630001e-05,9.39875678568526e-06,1.07194844417519e-06,"Oil&Gas"
"18","Cms Energy Corp",12,6,0.000270470403089322,0.000103972515439258,5.24988676406336e-05,"Power"
"19","Concho Resources Inc",12,6,0.000179450626809558,5.37090823971844e-05,5.7176425248601e-05,"Oil&Gas"
"20","Conocophillips",12,6,0.000634458141996806,0.00010060218869397,0.000232901781897919,"Oil&Gas"
"21","Consolidated Edison Inc",10,5,0.000313858095542438,0.000151961006419164,0.000162809441185745,"Power"
"22","Daimler Ag",20,10,0.00948405520394548,0.0140481551601937,0.00239655798132824,"Automotive"
"23","Devon Energy Corp",10,5,0.000120610813037794,1.86114858466642e-05,3.77458751108158e-05,"Oil&Gas"
"24","Diamondback Energy Inc",8,4,0.000189725166342121,8.95792022808395e-05,4.3338080092516e-05,"Oil&Gas"
"25","Dominion Energy Inc",8,4,0.000679446707779598,0.000351444804375939,0.00017698686024798,"Power"
"26","Dte Energy Co",10,5,0.000583105844831363,0.000226000883456165,5.23611014423923e-05,"Power"
"27","Duke Energy Corp",8,4,0.000804356119121485,0.000371606566161564,0.000179038407585406,"Power"
"28","E.On Se",13,6,0.000738800755850018,0.000353471875980842,0.000523319402176558,"Power"
"29","Eaton Corp Plc",11,5,0.000337324301322547,0.000135122805910224,0.000171950839293454,"Power"
"30","Edison International",8,4,0.00027309001766172,0.000139206215950814,7.28180668309523e-05,"Power"
"31","Edp - Energias De Portugal Sa",9,4,0.000323793041081004,0.000148090570654164,0.000489341758869011,"Power"
"32","Emerson Electric Co",14,7,0.00323273813094194,0.000107621320610519,0.000396049323227796,"Power"
"33","Endesa Sa",10,5,0.000604225473584559,0.000239827594783751,0.000234515420667065,"Power"
"34","Enel Spa",21,10,0.0096480311768074,0.00278179052913752,0.00226795794952943,"Power"
"35","Engie Sa",19,9,0.00576127059343218,0.00355217755157803,0.00150631928589046,"Power"
"36","Entergy Corp",10,5,0.000189308970160337,4.47237213772212e-05,6.26515795687158e-05,"Power"
