"","investor_name","portofolio_name","portfolio_value_usd","alignment_neutral","alignment_only_brown","alignment_emission_based","alignment_electric","alignment_hybrid","alignment_ice","alignment_grinding","alignment_integrated facility","alignment_coalcap","alignment_gascap","alignment_hydrocap","alignment_nuclearcap","alignment_oilcap","alignment_renewablescap","alignment_ac-electric arc furnace","alignment_bof shop","alignment_dc-electric arc furnace","alignment_open hearth meltshop","alignment_freight","alignment_mix","alignment_other","alignment_passenger","alignment_gas","alignment_oil","alignment_coal","exposure_green","exposure_brown","ratio_green_greenbrown","exposure_electric","exposure_hybrid","exposure_ice","exposure_grinding","exposure_integrated facility","exposure_coalcap","exposure_gascap","exposure_hydrocap","exposure_nuclearcap","exposure_oilcap","exposure_renewablescap","exposure_ac-electric arc furnace","exposure_bof shop","exposure_dc-electric arc furnace","exposure_open hearth meltshop","exposure_freight","exposure_mix","exposure_other","exposure_passenger","exposure_gas","exposure_oil","exposure_coal"
"1","AIG","AIG",3727907303.08917,-0.139116287032064,-0.299742172114233,-0.0938877452850403,0.856993553510193,-0.283080864337381,-0.177817112186523,NA,NA,-0.051330842555015,0.0420928278400866,-0.098339454881435,-0.977438203073172,-0.334217530596543,-0.228908957008786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129167115232008,0.0126097186251504,0.506013236011975,8.02559661954512e-05,0.000698303070540505,0.00818923379526277,NA,NA,0.00407551393375127,0.00655578907846526,0.00157748967813832,0.00224218455499045,0.000344970896136367,0.0105606628083266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AIG","Corporate Bond",3727907303.08917,-0.139116287032064,-0.299742172114233,-0.0938877452850403,0.856993553510193,-0.283080864337381,-0.177817112186523,NA,NA,-0.051330842555015,0.0420928278400866,-0.098339454881435,-0.977438203073172,-0.334217530596543,-0.228908957008786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129167115232008,0.0126097186251504,0.506013236011975,8.02559661954512e-05,0.000698303070540505,0.00818923379526277,NA,NA,0.00407551393375127,0.00655578907846526,0.00157748967813832,0.00224218455499045,0.000344970896136367,0.0105606628083266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AXA Assurances Luxembourg","AXA Assurances Luxembourg",95648824.0087634,-0.233478096041379,-0.312650792386635,-0.0457377473416225,NA,NA,NA,NA,NA,0.273285606097643,-0.702012809224543,-0.195694225152792,-1,-0.403434850796124,0.203774211141569,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190902,-0.148781948587687,NA,0.00209544290950082,0.00973142345392194,0.177176510253084,NA,NA,NA,NA,NA,0.00198923721667008,0.00212702500404542,0.000508087272246834,0,0.000409810609085575,0.00158735563725399,NA,NA,NA,NA,NA,NA,NA,NA,0.00659402690553225,0.00733237562816629,NA
"4","AXA Assurances Luxembourg","Mainf Fund P and C",95648824.0087634,-0.233478096041379,-0.312650792386635,-0.0457377473416225,NA,NA,NA,NA,NA,0.273285606097643,-0.702012809224543,-0.195694225152792,-1,-0.403434850796124,0.203774211141569,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190902,-0.148781948587687,NA,0.00209544290950082,0.00973142345392194,0.177176510253084,NA,NA,NA,NA,NA,0.00198923721667008,0.00212702500404542,0.000508087272246834,0,0.000409810609085575,0.00158735563725399,NA,NA,NA,NA,NA,NA,NA,NA,0.00659402690553225,0.00733237562816629,NA
"5","AXA Assurances vie Luxembourg","AXA Assurances vie Luxembourg",248178945.977041,-0.267235010924362,-0.343867369412805,-0.0653202193034834,NA,NA,NA,NA,NA,0.191704708245878,-0.734784404389883,-0.226873785135491,-1,-0.476381819936041,0.152197914217427,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190902,-0.148781948587687,NA,0.00343960544616767,0.0104851434756199,0.247013821612671,NA,NA,NA,NA,NA,0.00344493701193255,0.00327934437325784,0.000685664769334647,0,0.000573571412068711,0.00275394067683302,NA,NA,NA,NA,NA,NA,NA,NA,0.00581546386614885,0.00646663505161868,NA
"6","AXA Assurances vie Luxembourg","LIFE TG EUR",170247945.249954,-0.25455542989142,-0.332119724463045,-0.0582756342660623,NA,NA,NA,NA,NA,0.220421823723917,-0.722368407810062,-0.214340375130865,-1,-0.447029062295342,0.170615282777779,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190902,-0.148781948587687,NA,0.00331607577256414,0.00915309776543682,0.265941905649007,NA,NA,NA,NA,NA,0.00325798416834695,0.00323621799857963,0.000713248723970513,0,0.000587856797146023,0.00260282704859363,NA,NA,NA,NA,NA,NA,NA,NA,0.00477283160439378,0.00530725679994385,NA
"7","AXA Assurances vie Luxembourg","Mainf Fund Life",71245793.7270868,-0.293783466767892,-0.368559595429879,-0.0788494343451966,NA,NA,NA,NA,NA,0.138830233224067,-0.760696277202133,-0.256424851857993,-1,-0.545748828204423,0.11751469029413,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190901,-0.148781948587687,NA,0.00405753873333124,0.0146520336759609,0.216869666744284,NA,NA,NA,NA,NA,0.00421492568966356,0.00369010929148812,0.000684088526343448,0,0.00059325518691466,0.0033734502069878,NA,NA,NA,NA,NA,NA,NA,NA,0.00885260569083275,0.00984385279938266,NA
"8","Baloise Assurances Luxembourg S.A.","Baloise Assurances Luxembourg S.A.",93144380.6375536,-0.0669917764997343,-0.00791587365967615,-0.0865804895289586,NA,NA,NA,NA,NA,0.397868472588416,0.0674482124046694,-0.0712944627591757,-0.258249815257619,-0.210819411296738,-0.417144507280642,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190902,-0.148781948587687,NA,0.00607335761050151,0.0081608533830775,0.426673288265937,NA,NA,NA,NA,NA,0.00177116089478803,0.00487940321628949,0.004470281036621,0.0121324218845151,0.000635683918041899,0.00160307657388051,NA,NA,NA,NA,NA,NA,NA,NA,0.0051745967815842,0.00575400857024757,NA
"9","Baloise Assurances Luxembourg S.A.","BL NON VIE BONDSSACH",91319542.8352528,-0.0669917764997343,-0.00791587365967616,-0.0865804895289586,NA,NA,NA,NA,NA,0.397868472588416,0.0674482124046694,-0.0712944627591756,-0.258249815257619,-0.210819411296738,-0.417144507280642,NA,NA,NA,NA,NA,NA,NA,NA,0.105039248190902,-0.148781948587687,NA,0.00619472147425331,0.00832393166063022,0.426673288265937,NA,NA,NA,NA,NA,0.00180655399088135,0.00497690829751637,0.00455961063211898,0.0123748639883731,0.000648386785445104,0.00163511084213432,NA,NA,NA,NA,NA,NA,NA,NA,0.00527800071381516,0.00586899088430376,NA
"10","Baloise Vie Luxembourg S.A.","Baloise Vie Luxembourg S.A.",192845889.926659,-0.0730227984737038,-0.0161910346792923,-0.0885974972856872,NA,NA,NA,NA,NA,0.305790501445587,0.0762831916765144,-0.073644401280309,-0.255546184349903,-0.210819411296738,-0.413391778433567,NA,NA,NA,NA,NA,NA,NA,NA,0.137735896037326,-0.150590201588541,NA,0.0189309648938088,0.0266438141149474,0.415382483591892,NA,NA,NA,NA,NA,0.00562356271069641,0.00701106920173355,0.0053125319677465,0.0109408776692947,0.000529684530342653,0.0136184329260623,NA,NA,NA,NA,NA,NA,NA,NA,0.0171263569986487,0.0204905668739084,NA
"11","Baloise Vie Luxembourg S.A.","BVL OBLIGATIONS LEBEN",191097497.418263,-0.0730227984737037,-0.0161910346792923,-0.0885974972856872,NA,NA,NA,NA,NA,0.305790501445587,0.0762831916765143,-0.073644401280309,-0.255546184349903,-0.210819411296738,-0.413391778433567,NA,NA,NA,NA,NA,NA,NA,NA,0.137735896037326,-0.150590201588541,NA,0.0191041684032435,0.0268875841570621,0.415382483591892,NA,NA,NA,NA,NA,0.00567501390731964,0.00707521499659618,0.00536113747654963,0.0110409781353432,0.000534530729153081,0.0137430309266939,NA,NA,NA,NA,NA,NA,NA,NA,0.0172830497585073,0.0206780395205894,NA
"12","Cardif Lux Vie","Cardif Lux Vie",4524118757.24869,-0.0855830579171636,-0.0411112848151056,-0.0899403524178061,NA,NA,NA,NA,NA,0.241814998355507,0.0477733432048599,-0.0775665458518152,-0.258602559365431,-0.238181159946501,-0.36043020859486,NA,NA,NA,NA,NA,NA,NA,NA,0.099419927123498,-0.138892258262568,NA,0.0140181208826256,0.0104940024747453,0.571885212808799,NA,NA,NA,NA,NA,0.00664492455248274,0.0106153130638015,0.00367020251954086,0.00573215259499942,0.00094213288137571,0.0103479183630847,NA,NA,NA,NA,NA,NA,NA,NA,0.00277353809446369,0.00290694504088687,NA
"13","Cardif Lux Vie","INVXE",4524118757.24869,-0.0855830579171636,-0.0411112848151056,-0.0899403524178061,NA,NA,NA,NA,NA,0.241814998355507,0.0477733432048599,-0.0775665458518152,-0.258602559365431,-0.238181159946501,-0.36043020859486,NA,NA,NA,NA,NA,NA,NA,NA,0.099419927123498,-0.138892258262568,NA,0.0140181208826256,0.0104940024747453,0.571885212808799,NA,NA,NA,NA,NA,0.00664492455248274,0.0106153130638015,0.00367020251954086,0.00573215259499942,0.00094213288137571,0.0103479183630847,NA,NA,NA,NA,NA,NA,NA,NA,0.00277353809446369,0.00290694504088687,NA
"14","CNA Insurance Company Europe S.A.","CNA Insurance Company Europe S.A.",454166719.04746,-0.0194717297371454,-0.0511327439881469,-0.0752406950360322,0.862008271171826,-0.287374470697737,-0.179993589423205,NA,NA,0.381474923525826,0.00929940732820204,-0.0748560261173314,-0.258341544349674,-0.218846702172528,-0.35603759354833,NA,NA,NA,NA,NA,NA,NA,NA,0.257680396167556,-0.349202098993206,NA,0.00773680629428481,0.0194806103081326,0.284259391965864,0.000109511760528791,0.000721911534777821,0.00948928130731368,NA,NA,0.00382790613302926,0.00809821169162447,0.0036737564489658,0.00479919657756191,0.00133341290009233,0.00323162655001239,NA,NA,NA,NA,NA,NA,NA,NA,0.00511946677308465,0.00483000996769736,NA
